dlga_start:close_window|Aviso: esta linha nunca é exibida. É apenas para armazenar variáveis de conversação.
dlga_lord_mission_rescue_prisoner_confirm:lord_mission_rescue_prisoner_accepted|Posso tentar.
dlga_lord_mission_rescue_prisoner_confirm:lord_mission_rescue_prisoner_rejected|Creio que não posso ajudá-lo.
dlga_lord_mission_rescue_prisoner_rejected:close_window|Não seria uma tarefa simples. Talvez encontremos outro modo.
dlga_lord_mission_rescue_prisoner_accepted:lord_mission_rescue_prisoner_method|Somos extremamente gratos. Posso perguntar-lhe como tem pensado em proceder?
dlga_lord_mission_rescue_other_ideas:lord_mission_rescue_prisoner_method|Tem alguma outra ideia que queira discutir?
dlga_lord_mission_rescue_prisoner_method:lord_mission_rescue_prisoner_method_prisonbreak|Penso em entrar à força na prisão em {s24}, encontrar o {s13} e sair de lá lutando.
dlga_lord_mission_rescue_prisoner_method:lord_mission_rescue_prisoner_method_siege|Penso em tomar {s24} pela força.
dlga_lord_mission_rescue_prisoner_method:lord_mission_rescue_prisoner_planning_end|Já pensei o suficiente. É hora de agir!
dlga_lord_mission_rescue_prisoner_planning_end:close_window|Que os céus {o/a} protejam.
dlga_lord_mission_rescue_prisoner_method_prisonbreak:lord_mission_rescue_prisoner_method_prisonbreak_2|Discuti este plano com alguns dos meus homens. Um deles poderia entrar em {s24}, seja escondido ou abertamente, caminhar até o guarda da prisão e tentar tomar as chaves pela força. No entanto, isso pode ser difícil. A guarnição pode tardar em reagir, mas ainda assim, é provável que você se encontre lutando com uma meia dúzia ou mais inimigos de uma só vez, com pouco espaço para manobrar. Se conseguir derrotar esse primeiro grupo, provavelmente poderá sair de lá.
dlga_lord_mission_rescue_prisoner_method_prisonbreak_2:lord_mission_rescue_other_ideas|Talvez seja útil para você criar alguma distração, para desviar a atenção de parte da guarnição. Se você possui contatos nas aldeias próximas a {s24}, este pode ser o momento de dar-lhes alguma utilidade.
dlga_lord_mission_rescue_prisoner_method_siege:lord_mission_rescue_other_ideas|Bom, esse certamente é o método mais direto.
dlga_lord_tell_mission:lord_mission_deliver_message|Preciso enviar uma carta ao {s13}, que agora deve estar em {s4}. Se você estiver indo para lá, poderia entregá-la? A carta deve chegar em suas mãos dentro de trinta dias.
dlga_lord_mission_deliver_message:lord_mission_deliver_message_accepted|Certamento, tenho intenção de passar por {s4}. Não seria nenhum problema.
dlga_lord_mission_deliver_message:lord_mission_deliver_message_rejected|Duvido que encontre o {s13} no prazo, {s65}. Seria melhor enviar outra pessoa.
dlga_lord_mission_deliver_message:lord_mission_deliver_message_rejected_rudely|Não sou garot{o/a} de recados. Contrate um mensageiro para essas trivialidades.
dlga_lord_mission_deliver_message_accepted:close_window|Agradeço-lhe, {playername}. Aqui está a carta e uma pequena quantia para cobrir suas despesas de viagem. Dê meus cumprimentos ao {s13} quando vê-lo.
dlga_lord_mission_deliver_message_rejected:lord_pretalk|Ah, tudo bem então. Bem, com certeza encontrarei outra pessoa.
dlga_lord_mission_deliver_message_rejected_rudely:lord_mission_deliver_message_rejected_rudely_2|Hum, é assim que responde a um educado pedido de um pequeno favor? Que atitude deplorável, {playername}. Não imaginei que você ficaria ofendido.
dlga_lord_mission_deliver_message_rejected_rudely_2:lord_mission_deliver_message_rejected_rudely_3|Então você deverá saber de agora em diante.
dlga_lord_mission_deliver_message_rejected_rudely_2:lord_mission_deliver_message_accepted|Perdoe minha impulsividade, {s65}. Entregarei sua carta.
dlga_lord_mission_deliver_message_rejected_rudely_3:close_window|Tudo bem. Me lembrarei disso.
dlga_lord_tell_mission:lord_mission_deliver_message.1|Preciso enviar uma carta à {s13} do {s15}, que agora deve estar em {s4}. Se você estiver indo para lá, poderia entregá-la? A carta deve chegar em suas mãos dentro de 40 dias.
dlga_lord_tell_mission:lord_mission_told|Há mais uma coisa... Minha {s17}, {s13}, vai visitar seus parentes em {s14}. A visita foi adiada várias vezes devido aos perigos do caminho, mas desta vez ela está inflexível e insiste em ir para lá. Assim, ao menos quero me assegurar de que estará bem protegida. Confio muito em você, {playername}, por isso agradeceria se pudesse escoltá-la até {s14} e assegurar de que ela chegue sã e salva.
dlga_lord_tell_mission:lord_mission_deal_with_bandits_told|Um grupo de bandidos se refugiaram na minha aldeia de {s15}. Estão devastando as fazendas nos arredores, enriquecendo à custa dos meus impostos e engordando graças ao meu gado. Eu adoraria chegar até lá e dar-lhes uma lição, mas agora estou muito ocupado, então não posso fazer nada a respeito.
dlga_lord_mission_deal_with_bandits_told:lord_mission_deal_with_bandits_accepted|Não se preocupe, posso ir a {s15} e me livrar daqueles miseráveis por você.
dlga_lord_mission_deal_with_bandits_told:lord_mission_deal_with_bandits_rejected|Terá que buscar ajuda em outro lugar, eu já tenho muitas ocupações.
dlga_lord_mission_deal_with_bandits_accepted:close_window|Você faria isso? Saiba que eu ficaria muito grato. Aqui tem um pouco de dinheiro para cobrir os custos da sua campanha. Dê um castigo exemplar a esses {s43}s.
dlga_lord_mission_deal_with_bandits_rejected:lord_pretalk|Ah... Muito bem. Nesse caso, esqueça o que acabei de dizer.
dlga_lord_tell_mission:lord_tell_mission_raise_troops|Nenhum lorde deveria ter que admitir isto, {playername}, mas estava inspecionando meus soldados outro dia e há homens que não sabem de que lado se segura a espada. {s43} Você é {um guerreiro renomado/uma guerreira renomada}, {playername}. Treinaria algumas tropas para mim? Eu lhe agradeceria...
dlga_lord_tell_mission_raise_troops:lord_tell_mission_raise_troops_2|De quantos homens precisa?
dlga_lord_tell_mission_raise_troops_2:lord_mission_raise_troops_told|Se puder reunir {reg1} {s14} e trazê-los para mim, provavelmente será o suficiente.
dlga_lord_mission_raise_troops_told:lord_mission_raise_troops_accepted|Naturalmente, {s65}. Dê-me {reg1} recrutas e os treinarei até serem {s14}.
dlga_lord_mission_raise_troops_told:lord_mission_raise_troops_rejected|Não tenho tempo para treinar ninguém.
dlga_lord_mission_raise_troops_accepted:close_window|Você me aliviará de um peso, {playername}. Direi a meus sargentos que lhe enviem os recrutas e os ponham às suas ordens. Além disso, lhe darei um adiantamento para ajudar com os gastos. Tome, esta bolsa deve ser suficiente. Obrigado por sua ajuda.
dlga_lord_mission_raise_troops_rejected:lord_pretalk|Oh, claro. Já esperava por isso. Bem, pois que tenha boa sorte.
dlga_lord_tell_mission:lord_mission_collect_taxes_told|Provavelmente já sabe que sou o lorde {reg9?da cidade:da aldeia} de {s3}. No entanto, já faz meses que {s3} não me paga os impostos e as rendas que me deve como seu legítimo senhor. Aparentemente, a população tornou-se desleal e por isso preciso que alguém vá e faça-os lembrar de suas obrigações. E que lhes... convença, caso não queiram escutar. Se você for até lá e arrecadar os impostos que me devem, lhe concederei a quinta parte de tudo o que coletar.
dlga_lord_mission_collect_taxes_told:lord_mission_collect_taxes_accepted|Uma oferta justa, {s65}. Negócio fechado.
dlga_lord_mission_collect_taxes_told:lord_mission_collect_taxes_rejected|Perdoe-me, não tenho tempo para isso.
dlga_lord_mission_collect_taxes_accepted:close_window|Boas notícias, {playername}. Confiarei a você esta tarefa. Lembre-se, esses {reg9?plebeus:camponeses} são animais muito astutos, buscarão qualquer desculpa para não pagar a quantia que é minha por direito. Não se deixe enganar.
dlga_lord_mission_collect_taxes_rejected:lord_pretalk|Oh, sim. Bem, pois que tenha boa sorte.
dlga_lord_tell_mission:lord_mission_hunt_down_fugitive_told|Há uma coisa para a qual você poderia me ser útil. Um problema com o miserável malfeitor conhecido como {s4}. Ele assassinou um de meus homens e vive escapando da justiça desde então. Não posso permitir que ele continue fugindo de sua punição, então ofereci uma recompensa de 300 Florins por sua cabeça. Os amigos do homem morto acreditam que este assassino pode estar se refugiando com o seu povo, em {s3}. Se você for capaz de capturá-lo e dar-lhe o que merece, a recompensa será sua.
dlga_lord_mission_hunt_down_fugitive_told:lord_mission_hunt_down_fugitive_accepted|Então, nesse caso, o encontrarei e executarei a lei.
dlga_lord_mission_hunt_down_fugitive_told:lord_mission_hunt_down_fugitive_rejected|Não tenho tempo para persegui-lo agora.
dlga_lord_mission_hunt_down_fugitive_accepted:close_window|Excelente, {playername}. Eu {o/a} agradeceria muito, assim como a família do homem que ele matou. E claro, a recompensa será sua se conseguir capturá-lo. Bem, que tenha uma boa caça.
dlga_lord_mission_hunt_down_fugitive_rejected:lord_pretalk|Como desejar, {playername}. Suponho que haverá muitos caçadores de recompensa por aí capazes de fazer o trabalho...
dlga_lord_tell_mission:lord_mission_told_kill_local_merchant|A triste realidade é que eu devo uma considerável quantidade de dinheiro a um dos mercadores aqui em {s3}. Obviamente, não tenho a intenção de pagar, mas esse boca grande estúpido está montando uma cena por conta disso. Teve inclusive a audácia de vir me ameaçar... Ameaçar a mim!... com uma carta de queixa para as guildas de mercadores e banqueiros. Isso arruinaria minha boa reputação! Por isso, preciso de {um homem/uma pessoa} em quem possa confiar, alguém que me garanta o silêncio desse indivíduo. Para sempre!
dlga_lord_mission_told_kill_local_merchant:lord_mission_accepted_kill_local_merchant|Não se preocupe, ele não dirá mais uma palavra.
dlga_lord_mission_told_kill_local_merchant:lord_mission_rejected|Eu não saio por aí matando gente. Procure outro para fazer seu trabalho sujo.
dlga_lord_mission_accepted_kill_local_merchant:close_window|Muito bem. Confio em sua habilidade e discrição, {playername}. Não me decepcione. Agora vá e espere que eu lhe avise, enviarei uma mensagem dizendo quando e onde você pode pegar o mercador. Livre-se dele e vou recompensá-lo generosamente.
dlga_lord_tell_mission:lord_mission_told_meet_spy_in_enemy_town|Tenho um assunto delicado que necessita de atenção, {playername}, e nenhum súdito de confiança para realizá-lo. O fato é que tenho um espião em {s13} que monitora a situação e me informa de qualquer coisa que possa requerer minha atenção. Toda semana eu envio alguém para buscar os relatórios do espião e entregá-los a mim. Esse trabalho é seu, se desejar.
dlga_lord_mission_told_meet_spy_in_enemy_town:quest_meet_spy_in_enemy_town_accepted|Este tipo de intrigas não me desagrada. Conte comigo.
dlga_lord_mission_told_meet_spy_in_enemy_town:quest_meet_spy_in_enemy_town_rejected|Devo recusar a oferta. Esse trabalho disfarçado não é para mim.
dlga_quest_meet_spy_in_enemy_town_accepted:quest_meet_spy_in_enemy_town_accepted_response|Excelente! Dirija-se para {s13} assim que puder, o espião estará esperando.
dlga_quest_meet_spy_in_enemy_town_accepted_response:quest_meet_spy_in_enemy_town_accepted_2|{s13} está muito bem defendido. Como posso me aproximar sem ser notado?
dlga_quest_meet_spy_in_enemy_town_accepted_2:quest_meet_spy_in_enemy_town_accepted_response|Você terá de ser cauteloso. Tome o cuidado de evitar as fortalezas, aldeias e patrulhas inimigas, e não leve muitos homens com você. Se não conseguir se infiltrar de primeira, deixe passar um tempo até que a guarnição reduza a guarda novamente. Caso contrário, encontrará mais dificuldade para ganhar acesso à cidade.
dlga_quest_meet_spy_in_enemy_town_accepted_response:quest_meet_spy_in_enemy_town_accepted_3|Como reconhecerei o espião?
dlga_quest_meet_spy_in_enemy_town_accepted_3:quest_meet_spy_in_enemy_town_accepted_response|Uma vez que chegar em {s13}, fale com os moradores, o espião é um deles. Se acreditar ter encontrado o espião, diga a frase "{s11}". O espião responderá com a frase "{s12}". Assim vocês irão reconhecer um ao outro, e {reg7?ela:ele} lhe dará todas as informações que coletou para mim.
dlga_quest_meet_spy_in_enemy_town_accepted_response:quest_meet_spy_in_enemy_town_accepted_4|Irá me pagar?
dlga_quest_meet_spy_in_enemy_town_accepted_4:quest_meet_spy_in_enemy_town_accepted_response|Claro, tenho muito ouro em meus cofres para {homens/mulheres} leais como você. Satisfaça-me, {playername}, e chegarás longe.
dlga_quest_meet_spy_in_enemy_town_accepted_response:quest_meet_spy_in_enemy_town_accepted_end|Já sei o que devo fazer. Adeus, milorde.
dlga_quest_meet_spy_in_enemy_town_accepted_end:lord_pretalk|Boa sorte, {playername}. Lembre-se, a frase secreta é "{s11}". A resposta deve ser "{s12}". Traga-me de volta os relatórios, e o recompensarei por seus esforços.
dlga_quest_meet_spy_in_enemy_town_rejected:lord_pretalk|Como quiser, {playername}, mas recomendo fortemente que esqueça tudo o que eu disse sobre espiões. Os espiões não existem, nunca existiram, e ninguém nunca os encontrará. Lembre-se disso.
dlga_lord_tell_mission:lord_mission_told_raid_caravan_to_start_war|Esta paz com o {s13} não me agrada, {playername}. Nós permitimos que esses porcos corressem livres por muito tempo. Agora eles são mais fortes a cada dia e sua arrogância não tem limites. Eu digo que devemos declarar guerra a eles antes que seja tarde demais! Contudo, infelizmente, alguns lordes do nosso reino possuem estômago fraco e se recusam a uma possível declaração de guerra. Uns covardes inúteis que têm medo de sangue.
dlga_lord_mission_told_raid_caravan_to_start_war:lord_mission_tell_raid_caravan_to_start_war_2|Tem razão, {s65}. Mas, o que podemos fazer?
dlga_lord_mission_told_raid_caravan_to_start_war:quest_raid_caravan_to_start_war_rejected_1|Eu discordo, senhor. A paz é sempre preferível à guerra.
dlga_lord_mission_tell_raid_caravan_to_start_war_2:lord_mission_tell_raid_caravan_to_start_war_3|Ah, gosto muito de falar com quem entende o que eu digo! De fato, há sim algo que podemos fazer, {playername}. Um pouco de provocação... Se um dos nossos exércitos conseguir entrar em seu território e saquear uma de suas caravanas ou arrasar uma de suas vilas, e talvez deixar para trás um ou dois pequenos emblemas do {s14}, eles teriam motivos de sobra para declarar guerra ao nosso reino. E nesse caso, bem, até mesmo o mais covarde entre nós teria de se mobilizar para defender-se. Então, o que me diz? Está interessado?
dlga_lord_mission_tell_raid_caravan_to_start_war_3:quest_raid_caravan_to_start_war_accepted|Um excelente plano. Conte comigo.
dlga_lord_mission_tell_raid_caravan_to_start_war_3:lord_mission_tell_raid_caravan_to_start_war_4|Por que você mesmo não ataca as caravanas?
dlga_lord_mission_tell_raid_caravan_to_start_war_4:lord_mission_tell_raid_caravan_to_start_war_5|Bem, {playername}, alguns dos lordes de nosso reino não gostam da ideia de que alguém promova uma guerra sem seu consentimento. Eles já estão procurando uma desculpa para acabar comigo, e se eu fizesse isso poderiam me fazer pagar muito caro. Você, no entanto, é jovem, bem-quisto e audaz... e por isso lhe cairia bem se conseguisse essa façanha. E, é claro, eu apoiarei e defenderei suas decisões contra seus oponentes. Resumindo, alguns poucos lordes poderão não gostar da sua iniciativa, mas estou confiante de que isso não será problema para você.
dlga_lord_mission_tell_raid_caravan_to_start_war_5:quest_raid_caravan_to_start_war_accepted|Isso me parece razoável. Sendo assim, farei isso.
dlga_lord_mission_tell_raid_caravan_to_start_war_5:quest_raid_caravan_to_start_war_rejected_2|Não gosto disto. Procure outro para assumir a responsabilidade de seus planos.
dlga_quest_raid_caravan_to_start_war_accepted:close_window|Muito bom! Saqueie uma caravana, ou, se você não conseguir, ataque uma de suas vilas, e então o trabalho estará completo. Bem, tenha uma boa sorte e boa caça. Vá e deixe as fronteiras em chamas!
dlga_quest_raid_caravan_to_start_war_rejected_1:lord_pretalk|Ah, você acha isso? Mas por quanto tempo durará sua preciosa paz? Não muito, acredite em mim.
dlga_quest_raid_caravan_to_start_war_rejected_2:lord_pretalk|Hum. Como quiser, {playername}. Pensei que você tinha um pouco mais de ardor, mas vejo que eu estava errado.
dlga_lord_tell_mission:lord_mission_told.1|Bem, alguns servos que trabalham nos meus campos em {s4} escaparam. Esses bastardos ingratos! Deixei-os arar o meu campo e lhes aluguei minhas cabanas, e é assim que me pagam! Pelo que me disseram, eles estão fugindo para {s3} tão rápido quanto podem, e se dividiram em três grupos para tentar evitar a captura. Quero que você capture os três grupos e traga-os de volta a {s4} usando os meios que forem necessários. Eu deveria enforcá-los por tentar fugir, mas necessito de braços para a próxima colheita, por isso desta vez só vou puni-los com uma boa surra.
dlga_lord_tell_mission:lord_tell_mission_follow_spy|Tenho informação confiável de que um homem desta mesma cidade é, na verdade, um espião inimigo. Deveria prendê-lo e pendurá-lo por sua audácia, mas também acreditamos que em breve ele irá abandonar a cidade para encontrar-se com seu amo, o homem para quem ele espiona e reporta todas as informações. O espião em si não é particularmente importante, mas seu amo é um homem perigoso, e poderia nos revelar muitas coisas se conseguíssemos colocar as mãos nele...
dlga_lord_tell_mission_follow_spy:lord_tell_mission_follow_spy_2|Quero que espere aqui até que o espião abandone a cidade. Então o seguirá, sigilosamente, até o lugar de reunião. Você deve tomar todas as precauções para que o espião não lhe veja no caminho, pois se isso acontecer, ele suspeitará do jogo sujo e retornará. Quando o amo aparecer, prepare uma emboscada e prenda-os, então traga-os para mim. Vivos, se não se importa.
dlga_lord_tell_mission_follow_spy_2:lord_tell_mission_follow_spy_accepted|Assim o farei, {s65}.
dlga_lord_tell_mission_follow_spy_2:lord_tell_mission_follow_spy_rejected|Não, este jogo de esconde-esconde não é para mim.
dlga_lord_tell_mission_follow_spy_accepted:close_window|Bem, confio que fará um bom trabalho. Um dos meus homens irá lhe apontar o espião quando este sair, assim você saberá a que homem deve seguir. Lembre-se, eu quero ambos, e eu quero os dois vivos.
dlga_lord_tell_mission_follow_spy_rejected:lord_pretalk|Uma pena. Bem, siga com suas atividades, {playername}...
dlga_lord_tell_mission:lord_tell_mission_capture_enemy_hero|Há um trabalho complicado que preciso ver resolvido, {playername}, e você pode ser a pessoa ideal para realizá-lo. Preciso que alguém capture um dos nobres lordes do {s13} e o traga até mim. Depois poderei trocá-lo por um parente meu que está nas mãos do {s13}. A ideia é simples, mas qualquer que seja o nobre a quem escolher estará protegido por um bom grupo de elite a seu serviço, sem dúvida. Você se sente capaz de enfrentar esse desafio?
dlga_lord_tell_mission_capture_enemy_hero:lord_tell_mission_capture_enemy_hero_accepted|Considere-o como feito, {s65}.
dlga_lord_tell_mission_capture_enemy_hero:lord_tell_mission_capture_enemy_hero_rejected|Devo recusar, {s65}. Eu não saio sequestrando gente por aí.
dlga_lord_tell_mission_capture_enemy_hero_accepted:close_window|Gosto do seu espírito! Vá e traga-me um dos nossos inimigos, e brindarei ao seu nome em meu salão quando você voltar! Além disso, vou recompensá-l{o/a} por seus esforços, é claro...
dlga_lord_tell_mission_capture_enemy_hero_rejected:lord_pretalk|Estou vendo que você não é tão {bravo/brava} quanto imaginava. Muito bem, {playername}, encontrarei outra pessoa.
dlga_lord_tell_mission:lord_tell_mission_lend_companion|Não tenho um trabalho para você agora, mas {s3} é {reg3?uma menina habilidosa:um rapaz habilidoso} e necessito de alguém com seus talentos. Poderia contar com seus serviços durante algum tempo?
dlga_lord_tell_mission_lend_companion:lord_tell_mission_lend_companion_2|Precisará {reg3?dela:dele} por quanto tempo?
dlga_lord_tell_mission_lend_companion_2:lord_mission_lend_companion_told|Só por uns dias, uma semana no máximo.
dlga_lord_mission_lend_companion_told:lord_tell_mission_lend_companion_accepted|Então deixarei {s3} com você por uma semana.
dlga_lord_mission_lend_companion_told:lord_tell_mission_lend_companion_rejected|Desculpe, mas não posso dispensar {s3} por uma semana inteira.
dlga_lord_tell_mission_lend_companion_accepted:close_window|Agradeço-lhe enormemente, {playername}. Não se preocupe, devolverei essa pessoa com a devida pressa.
dlga_lord_tell_mission_lend_companion_rejected:lord_pretalk|Bom, é uma verdadeira pena, mas também não posso forçar você ou {s3} a aceitar. Terei que lidar com isso sozinho.
dlga_lord_tell_mission:lord_tell_mission_collect_debt|Algum tempo atrás, emprestei uma soma considerável de dinheiro ao {s3}. {reg4} Florins, para ser preciso. Supunha-se que ele me devolveria o valor em um mês, mas ainda não recebi uma única moeda dele. Isso foi há meses. Se você pudesse coletar essa dívida em me nome, lhe agradeceria muito. Eu também deixaria você ficar com um quinto do montante, pelo inconveniente. O que me diz?
dlga_lord_tell_mission_collect_debt:lord_tell_mission_collect_debt_2|Sabe onde posso encontrar o {s3}, {s65}?
dlga_lord_tell_mission_collect_debt_2:lord_tell_mission_collect_debt_3|Se partir agora mesmo, poderá encontrá-lo em {s4}. Não tenho dúvidas de que ele se mostrará devidamente envergonhado por seu comportamento e lhe dará o dinheiro que me deve.
dlga_lord_tell_mission_collect_debt_3:lord_tell_mission_collect_debt_accepted|Então irei falar com o {s3} em seu nome.
dlga_lord_tell_mission_collect_debt_3:lord_tell_mission_collect_debt_rejected|Perdoe-me, {s65}, mas duvido que eu possa ser mais convincente que você.
dlga_lord_tell_mission_collect_debt_accepted:close_window|Você me faz muito feliz ao aceitar esta tarefa, {playername}. Por favor, fale com o {s3} e não volte sem o meu dinheiro.
dlga_lord_tell_mission_collect_debt_rejected:lord_pretalk|Talvez não, {playername}. Acredito que nunca conseguirei esse dinheiro de volta...
dlga_lord_tell_mission:lord_tell_mission_incriminate_commander|Eu lhe asseguro, esse tolo balbuciante do {s13} é incapaz de governar {s14}. Deus sabe que lhe arrancariam suas terras em um instante se não fosse por um dos seus vassalos leais, {s15}. Enquanto ele contar com a ajuda desse vassalo, será difícil vencê-lo. Assim, preciso do {s15} fora do jogo, e tenho um plano para fazê-lo... Com a sua ajuda, claro.
dlga_lord_tell_mission_incriminate_commander:lord_tell_mission_incriminate_commander_2|{s66}, sou todo ouvidos.
dlga_lord_tell_mission_incriminate_commander:lord_tell_mission_incriminate_commander_rejected|Não desejo me envolver em nada desonroso contra {s15}.
dlga_lord_tell_mission_incriminate_commander_rejected:lord_pretalk|Desonroso? Há! Esperava poder contar com seu apoio, {playername}, mas você me mostrou o quanto eu fui um tolo. Terei que encontrar alguém em cuja lealdade possa confiar.
dlga_lord_tell_mission_incriminate_commander_2:lord_tell_mission_incriminate_commander_3|Escrevi uma carta falsa a {s15}, portando meu próprio selo, que nos envolve em uma conspiração para organizar um motim em {s14}, a meu favor. Se pudermos fazer com que {s13} creia que a carta é real, ele agirá contra {s15} sem demora. Claro, o desafio é convencer {s13} de que a carta é autêntica...
dlga_lord_tell_mission_incriminate_commander_3:lord_tell_mission_incriminate_commander_4|Por favor, continue, {s65}...
dlga_lord_tell_mission_incriminate_commander_3:lord_tell_mission_incriminate_commander_rejected|Não, não sujarei minha reputação com este esquema vergonhoso.
dlga_lord_tell_mission_incriminate_commander_4:lord_tell_mission_incriminate_commander_5|É aí que você entra em cena. Levará a carta a {s14} e em seguida a dará a um de seus soldados, e lhe dará instruções para entregá-la a {s15}. Farei com que um de meus espiões informe à guarnição da cidade, de modo que seu homem seja preso no caminho. Os guardas encontrarão então a carta e a levarão a {s13}. Claro, eles o torturarão para tentarem obter a verdade, mas tudo o que ele sabe é que você ordenou-lhe que entregasse a carta a {s15} com o mais absoluto sigilo. {s13} sabe que você está a meu serviço, e sem dúvida como o tolo que é, acreditará em toda a farsa.
dlga_lord_tell_mission_incriminate_commander_5:lord_tell_mission_incriminate_commander_7|Isso é tudo?
dlga_lord_tell_mission_incriminate_commander_7:lord_tell_mission_incriminate_commander_8|Há uma outra coisa... Seu mensageiro deve ser alguém de confiança. Se você der a carta a um simples camponês, alguém que seja dispensável, {s13} poderia suspeitar. Ele pode ter o cérebro de um caracol, mas mesmo um caracol pode perceber o óbvio. Dê a carta a alguém com posto. Um de seus {s9}, talvez.
dlga_lord_tell_mission_incriminate_commander_8:lord_tell_mission_incriminate_commander_9|Quê?! Não posso enviar um de meus {s9} de confiança para a morte!
dlga_lord_tell_mission_incriminate_commander_8:lord_tell_mission_incriminate_commander_fin|Nesse caso, será um {s8}.
dlga_lord_tell_mission_incriminate_commander_9:lord_tell_mission_incriminate_commander_10|Vamos lá, {playername}. Há momentos para o sentimentalismo, mas este não é um deles. Acredite em mim, você será compensado generosamente, e que outro destino tem um soldado, senão morrer à nossas ordens?
dlga_lord_tell_mission_incriminate_commander_10:lord_tell_mission_incriminate_commander_fin|Que seja um {s8}.
dlga_lord_tell_mission_incriminate_commander_10:lord_tell_mission_incriminate_commander_rejected|Não, não sacrificarei um de meus melhores homens.
dlga_lord_tell_mission_incriminate_commander_fin:lord_pretalk|Não sabe o quanto estou feliz em ouvir isso, {playername}. Você está eliminando um dos maiores obstáculos em meu caminho. Aqui está a carta, e 300 Florins para suas despesas. Lembre-se, haverá mais se você obter sucesso. Muito, muito mais...
dlga_lord_tell_mission:lord_mission_told.2|Um grupo de meus soldados foi capturado em um recente combate com o inimigo. Por sorte, temos um acordo de troca de prisioneiros e logo eles serão libertados, mas em troca exigem que entreguemos prisioneiros de igual valia. Prisioneiros que não possuo no momento. Por isso preciso de {um bom homem/uma boa guerreira} que me traga {reg1} {s3} e faça-os prisioneiros para que eu possa trocá-los.
dlga_lord_tell_mission:lord_pretalk|Não, {playername}. Não preciso da sua ajuda agora.
dlga_lord_mission_told:lord_mission_accepted|Pode contar comigo, {s65}.
dlga_lord_mission_told:lord_mission_rejected|Temo que não posso aceitar tal missão agora.
dlga_lord_mission_accepted:close_window|Excelente, {playername}, excelente. Confio plenamente em você.
dlga_lord_mission_rejected:close_window|É assim? Bem, suponho que simplesmente não está à altura necessária. Terei que encontrar alguém com mais coragem.
dlga_lord_talk:lord_leave_prison|Devo ir agora.
dlga_lord_talk:lord_leave|Esta audiência está encerrada. Irei agora.
dlga_lord_talk:lord_leave.1|Desculpe, mas devo partir.
dlga_lord_leave:lord_leave_give_quest|Antes que vá, {playername}, tenho algo a lhe perguntar... Pode ser que sejamos inimigos nesta guerra, mas espero que pense como eu, que ainda assim podemos agir de maneira civilizada. Por isso, esperava que você fosse gentil o suficiente para me ajudar em algo que é importante para mim.
dlga_lord_leave_give_quest:enemy_lord_tell_mission|Estou escutando.
dlga_enemy_lord_tell_mission:lord_mission_told|Tenho um amigo aqui, um velho guerreiro, que está muito doente. Uma pestilência infectou um velho ferimento de guerra, e a menos que ele seja examinado por um cirurgião o mais breve possível, ele certamente morrerá. Aprecio muito este homem, {playername}, mas ele é teimoso como uma mula e se recusa a ser examinado porque desconfia dos nossos médicos. Ouvi dizer que você tem um cirurgião muito capacitado em seu grupo. Se permitisse que seu cirurgião viesse aqui e o examinasse, {reg3?ela:ele} poderia ser capaz de convencê-lo a ser operado. Por favor, ficaria em dívida com você se me concedesse este pedido.
dlga_lord_leave_prison:close_window|Voltaremos a nos ver.
dlga_lord_leave:close_window|Adeus, milady. Permaneço seu mais fervoroso admirador.
dlga_lord_leave:close_window.1|Naturalmente, {playername}. Adeus.
dlga_lord_leave:close_window.2|Que tenha uma boa viagem, {playername}.
dlga_lord_leave:close_window.3|Sim, sim. Adeus.
dlga_lord_leave:close_window.4|Nos veremos de novo.
dlga_member_chat:lady_journey_1|Está desfrutando da viagem, {s65}?
dlga_lady_journey_1:close_window|Estou muito bem, {playername}. Obrigada por sua preocupação.
dlga_start:spouse_talk|Sim, meu marido?
dlga_spouse_talk:minister_issues|Como meu primeiro ministro, desejo falar com você sobre assuntos políticos.
dlga_spouse_talk:offer_gift_quest_complete|Eu tenho os materiais para o presente de {s4}.
dlga_spouse_talk:spouse_cancel_political_quest|Abandonemos nosso plano de {s10}.
dlga_spouse_cancel_political_quest:spouse_cancel_political_quest_confirm|Tem certeza que quer descartar essa ideia?
dlga_spouse_cancel_political_quest_confirm:spouse_pretalk|Sim, tenho. Essa ideia fica descartada.
dlga_spouse_cancel_political_quest_confirm:spouse_pretalk.1|Não, esqueça.
dlga_spouse_talk:combined_political_quests|Pensemos em uma forma de melhorar nossa posição neste reino.
dlga_spouse_talk:spouse_organize_feast|Estava pensando que talvez poderíamos organizar um banquete.
dlga_spouse_talk:spouse_household_possessions|Façamos um inventário de nossos bens.
dlga_spouse_household_possessions:spouse_pretalk|Bem, este é o conteúdo de nossos estoques.
dlga_spouse_talk:close_window|Falaremos mais tarde, meu amor.
dlga_wedding_ceremony_bride_vow:wedding_ceremony_player_vow|Meu marido, eu me comprometo a ser sua esposa, a permanecer ao seu lado nos bons e maus momentos. Que os céus nos sorriam e nos abençoe com filhos, gados, e terras.
dlga_wedding_ceremony_player_vow:wedding_ceremony_vows_complete|Juro o mesmo. Sejamos marido e mulher.
dlga_wedding_ceremony_player_vow:close_window|Espere... creio que não estou preparado para isto.
