qstr_Artillery|Artilharia
qstr_The__Enable_Level_Sc|The 'Enable Level Scaling' Checkbox
qstr_Enable_this_to_cause|Habilite isso para fazer com que oponentes        ^genéricos na arena sejam equiparados à você,        ^de modo a melhorar a competitividade.              ^Nota: Essa opção requer que "Ajuste do Nível    ^dos Participantes" esteja ativado.^
qstr_{reg2}_Florins|{reg2} Florins
qstr_You_really_don_t_wan|Você definitivamente não vai querer ativar isto para o seu personagem principal.
qstr_DEBUG_Mode_Exit|Sair do Modo DEBUG
qstr_Exit|Sair
qstr_Continue|Continuar
qstr_Finish|Finalizar
qstr_{s22}|{s22}
qstr_Tournament_Options|Opções do Torneio
qstr_Standings|Classificações
qstr_Tournament_Rankings|Classificação do Torneio
qstr_Round_{reg3}_Ranking|Classificação da Rodada {reg3}
qstr_{s11}|{s11}
qstr_{s12}|{s12}
qstr_{reg2}_teams_of_{reg|{reg2} times de {reg3} membros
qstr_Page_1__1_10_|Página 1 (1-10)
qstr_Page_2__11_20_|Página 2 (11-20)
qstr_Page_3__21_30_|Página 3 (21-30)
qstr_Page_4__31_40_|Página 4 (31-40)
qstr_TOURNAMENT_AWARDS|PRÊMIOS DO TORNEIO
qstr_{s25}^Swiftest_Cut^A|{s25}^Lâmina Veloz^Concedido a {s2}^+{reg1} pontos de experiência^+{reg21} renome^
qstr_{s25}^Fiercest_Compe|{s25}^Competidor Feroz: {reg2} nocautes^Concedido a {s2}^+{reg1} pontos de experiência^+{reg21} renome^
qstr_{s25}^Dominant_Prese|{s25}^Presença Dominante^Concedido a {s2}^+{reg1} pontos de experiência^+{reg21} renome^
qstr_{s25}^Legendary_Pres|{s25}^Presença Lendária^Concedido a {s2}^+{reg1} pontos de experiência^+{reg21} renome^
qstr_{s25}^Mythical_Prese|{s25}^Presença Mítica^Concedido a {s2}^+{reg1} pontos de experiência^+{reg21} renome^
qstr_{s25}^Cautious_Appro|{s25}^Aproximação Cautelosa^Concedido a {s2}^{reg21} renome^
qstr_{s25}|{s25}
qstr_Slot|Espaço
qstr_#|#
qstr_TROOP|TROPAS
qstr_ROUND_POINTS|PONTOS DA RODADA
qstr_TOTAL_POINTS|PONTOS TOTAIS
qstr_Random_teams_and_siz|Times e tamanhos aleatório
qstr_Exit_Tournament|Sair do Torneio
qstr_ERROR__TPE_:_An_inva|ERRO (TPE): Um vencedor inválido encontrado.  1º = {reg31}, 2º = {reg32}, 3º = {reg33}.
qstr_TOURNAMENT_WINNERS|VENCEDORES DO TORNEIO!
qstr_1st|Primeiro
qstr_Tournament_Awards|Prêmios do Torneio
qstr_{reg5}_Florins|{reg5} Florins
qstr_{reg6}_experience|{reg6} pontos de experiência
qstr_{reg7}_renown|{reg7} renome
qstr_Tournament_Prizes|Recompensas do Torneio
qstr_2nd|Segundo
qstr_3rd|Terceiro
qstr_City_of_{s21}|Cidade de {s21}
qstr_Native_Arena|Arena do Native
qstr_Adorno_s_Overhaul_Ar|Arena de Exposições de Adorno
qstr_DEBUG__TPE_Design_:_I|DEBUG (TPE Design): Item '{s1}' added.
qstr_DEBUG__TPE_Design_:_S|DEBUG (TPE Design): Scene set to option {reg1}.
qstr_First_Crusade|Primeira Cruzada
qstr_Second_Crusade|Segunda Cruzada
qstr_Third_Crusade|Terceira Cruzada
qstr_Fourth_Crusade|Quarta Cruzada
qstr_Fifth_Crusade|Quinta Cruzada
qstr_Sixth_Crusade|Sexta Cruzada
qstr_Seventh_Crusade|Sétima Cruzada
qstr_Eighth_Crusade|Oitava Cruzada
qstr_Ninth_Crusade|Nona Cruzada
qstr_Tenth_Crusade|Décima Cruzada
qstr_Eleventh_Crusade|Décima primeira Cruzada
qstr_Twelfth_Crusade|Décima segunda Cruzada
qstr_Crusade|Cruzada
qstr_{s0}_Announced|{s0} Anunciada
qstr_His_Holiness_the_Pop|Sua Santidade o Papa convocou uma Cruzada para libertar a Terra Santa dos ocupantes estrangeiros.^^
Todos os companheiros Cristãos, pessoas de qualquer posição, soldados de infantaria e cavaleiros.^ Ricos e pobres, são obrigados a levar ajuda prontamente aos Cristãos na Terra Santa e remover os^ invasores quase invencíveis e malignos das terras de nossos amigos e ajudar nosso grande vizinho,^ o Império Mithridiano, esta terra que você habita, fechada em todos os lados por mar e cercada por^ picos de montanhas, é muito estreita para a sua grande população, nem é abundante em riqueza. E^ dificilmente consegue produzir comida suficiente para seus cultivadores. Por isso é que vocês matam uns aos outros, que vocês estão em guerra, e que frequentemente perecem por feridas mútuas.^ Portanto, deixem que o ódio se desvie do seu meio, que as tuas disputas terminem, que as guerras^ cessem e que todas as desavenças e controvérsias durmam no passado. Entre no caminho para o Santo^ Sepulcro; Tire essa terra das mãos de pessoas más. O Senhor conferiu a você, acima de todas as^ nações, grande glória nas armas.^^Todos os que morrerem no caminho, seja por terra ou por mar, ou em batalha contra os pagãos, terão^ a remissão imediata dos pecados. Isso eu lhes concedo pelo poder de Deus com o qual eu estou^ investido. Deixe aqueles que por muito tempo foram ladrões, agora se tornarem cavaleiros. Que^ aqueles que têm lutado contra seus irmãos e parentes agora lutem de maneira apropriada contra os^ bárbaros. Que aqueles que têm servido como mercenários por pequenos pagamentos agora obtenham^ eternas recompensas. Contemplem! Do outro lado estarão os tristes e pobres, deste lado, os ricos;^ do outro, os inimigos do Senhor, deste, seus amigos. Deixe aqueles que não vão, adiem a jornada,^ mas aluguem suas terras e colham dinheiro para suas despesas; e assim que o inverno acabar e a^ primavera chegar, aventure-se ansiosamente no caminho com Deus como guia. ^^Deus Vult! ^^Gregory XVIII PP^
qstr_Target:|Objetivo:
qstr_Gathering_Point:|Ponto de encontro:
qstr_Crusade_Camp_nearby_|Acampamento Cruzado nas imediações de {s1}
qstr_Preparation_Time:|Tempo de preparação:
qstr_14_days|14 dias
qstr_Crusade_Leader:|Líder da Cruzada:
qstr_Crusade_Generals:|Generais da Cruzada:
qstr_First_Jihad|Primeiro Jihad
qstr_Second_Jihad|Segundo Jihad
qstr_Third_Jihad|Terceiro Jihad
qstr_Fourth_Jihad|Quarto Jihad
qstr_Fifth_Jihad|Quinto Jihad
qstr_Sixth_Jihad|Sexto Jihad
qstr_Seventh_Jihad|Sétimo Jihad
qstr_Eighth_Jihad|Oitavo Jihad
qstr_Ninth_Jihad|Nono Jihad
qstr_Tenth_Jihad|Décimo Jihad
qstr_Eleventh_Jihad|Décimo Primeiro Jihad
qstr_Twelfth_Jihad|Décimo Segundo Jihad
qstr_Jihad|Jihad
qstr_^We_have_mingled_blo|^Nós misturamos sangue com lágrimas, e não há espaço em nós para piedade. ^Derrubar lágrimas é a pior arma de um homem quando as espadas agitam as brasas da guerra. ^Filhos do Islã, atrás de vocês estão batalhas em que cabeças rolaram até seus pés. ^Você ousa dormir na abençoada sombra da segurança, onde a vida é tão suave quanto uma flor de pomar? ^Como os olhos podem se fechar entre as pálpebras em um momento de desastre que acordaria qualquer dorminhoco? ^^Enquanto seus irmãos na Terra Santa só podem dormir nas costas de seus cavalos de batalha, ou em barrigas de abutres! ^Os estrangeiros devem se alimentar de nossa humilhação, enquanto ^você trilha uma vida agradável, como os homens cujo mundo está em paz? ^Quando o sangue for derramado, quando doces meninas devem pela vergonha esconder seus adoráveis rostos nas mãos! ^^Quando o prateado das espadas ficarem vermelhas de sangue, e o ferro das lanças está manchado de sangue! ^Ao som da espada se chocando contra a lança, até o cabelo dos jovens fica branco e quebradiço. ^Isso é guerra, e o homem que evita essa tempestade para salvar a própria vida deve ranger os dentes em arrependimento. ^Isso é guerra, e a espada do infiel está nua em sua mão, pronta para ser embainhada novamente nos pescoços e crânios dos homens. ^Isso é guerra, e aquele que está no túmulo em Medina parece levantar a voz e chorar: ^^Ó filhos de Hashim! Eu vejo meu povo relutante em levantar a lança contra o inimigo: ^vejo a Fé repousando sobre pilares fracos. Por medo da morte, os muçulmanos estão evitando o fogo da batalha, ^recusando-se a acreditar que a morte os atingirá. ^Os defensores do Sarranide devem sofrer com resignação, enquanto as galantes pessoas do deserto fecham os olhos à sua desonra? ^^Chegou a hora de libertar Hiersolyma desses invasores malignos! ^^Allahu Akbar ^^Imã {s1} ^
qstr_Jihad_Camp_nearby_{s|Acampamento do Jihad nas imediações de {s1}
qstr_Jihad_Leader:|Líder do Jihad:
qstr_Jihad_Generals:|Generais do Jihad:
qstr_Workbench|Mesa de Trabalho
qstr_Craft|Criar
qstr_Cancel|Cancelar
qstr_Requirements|Requerimentos:
qstr_{reg10}|{reg10}
qstr_Craftsmanship_skill:|Habilidade de criação: {reg9} ({reg0})
qstr_Result|Resultado:
qstr_Tradegoods|Bens de comércio
qstr_Intermediates|Intermediários
qstr_Swords|Espadas
qstr_Axes|Machados
qstr_Polearms|Armas de Haste
qstr_Maces|Maças
qstr_Armour|Armaduras
qstr_Helmets|Elmos
qstr_Gauntlets|Manoplas
qstr_Footwear|Botas
qstr_Bullets|Balas
qstr_Ranged|Armas de Longo Alcance
qstr_Arrows_&_Bolts|Flechas e Dardos
qstr_Church_Goods|Bens de Igreja
qstr_Learning_Books|Livros de Aprendizagem
qstr_Calc._Revenue:|Valor:
qstr_Est._Profit:|Lucro:
qstr_{reg3}_Fl.|{reg3} Fl.
qstr_{reg4}_Fl.|{reg4} Fl.
qstr_Crafting_started.|Criação iniciada.
qstr_Sermon_started.|Sermão iniciado.
qstr_Not_enough_materials|Não há materiais suficientes ou habilidade inadequada.
qstr_x:_{reg1}_y:_{reg2}|x: {reg1}, y: {reg2}
qstr_Crafting_is_a_comple|.^^^A criação de itens é uma característica complexa de Nova Aetas. Ela oferece uma jogabilidade única, bastante nova e inédita em outros mods.^ Cada item é composto de vários produtos. Estes são chamados bens intermediários ou semi-bens. Você precisará fabricar estes semi-bens. É aqui^ que o Nova Aetas se diferencia de outros mods. Você precisará forjar ferramentas, espadas e armaduras manualmente, a madeira precisa ser^ serrada e processada e assim por diante.^^A Escrivaninha^^Você pode criar quase tudo. De espadas, armaduras a armas de fogo. Se você quiser criar uma espada como ferreiro por exemplo, você precisará^ de pelo menos uma lâmina de espada e um cabo de madeira. Cabos são fabricados pelo carpinteiro. Embora você possa comprá-los no Mercado da^ Guilda. A lâmina da espada pode ser encontrada em intermediários ao percorrer os tipos de mercadorias no mercado. Quando selecionar a espada,^ você verá vários requisitos. Sua habilidade Manejo de Criação precisa ser adequada. Essa é uma habilidade nova que você pode melhorar com o^ tempo. Passar o cursor sobre os requisitos de permite que você veja que 1 lingote de aço é necessário. Obtenha-o de uma mina ou do mercado.^ A Criação pode ser iniciada se todas as necessidades forem atendidas.^^ Fabricação ^^Clique no botão Criar. Agora você vê uma seta aparecendo no cenário. Para a igreja, você pode fazer intermediários como Pergaminhos de peles^ a partir do couro ou água benta a partir de água limpa. Para fazer pergaminhos, vá para a estrutura com a pele não curtida e comece a raspar^ (segure F). Use o pergaminho obtido para escrever uma carta de indulgência ou livros. Às vezes você precisa de um selo episcopal especial.^ Este selo autentifica os documentos ou objetos. Você pode recebê-lo do bispo local. Portanto, você precisa visitar a igreja local. Você^ também pode iniciar um sermão. Faça isso "preparando" as hóstias sagradas. Vá ao salão da igreja e comece o sermão. Não se esqueça que você^ pode desativar as setas clicando no botão esquerdo abaixo.^^Manter ou Vender^^Quando estiver pronto, uma caixa de mensagem irá aparecer perguntando se você deseja manter ou vender o item. Porque você é membro da Igreja,^ e a Igreja sempre garante um preço fixo para seus membros dentro da cidade, você terá sempre 20% de lucro. O lucro estimado é declarado^ abaixo e à direita na janela da Mesa de Trabalho e calculado como mostra a seguir: custos dos intermediários +20% de lucro do preço normal^ de compra do item no mercado. Mantenha os intermediários em seu inventário para criar o item final na bancada de trabalho: uma espada.
qstr_Crafting_is_a_complex|^^A criação de itens é uma característica complexa de Nova Aetas. Ela oferece uma jogabilidade única, bastante nova^ e inédita em outros mods. Cada item é composto de vários produtos. Estes são chamados bens intermediários ou^ semi-bens. Você precisará fabricar estes semi-bens. É aqui que o Nova Aetas se diferencia de outros mods. Você^ precisará forjar ferramentas, espadas e armaduras manualmente, a madeira precisa ser serrada e processada e assim^ por diante. ^^ Mesa de Trabalho ^^ Você pode criar quase tudo. De espadas, armaduras a armas de fogo. Se você quiser criar uma espada como ferreiro^ por exemplo, você precisará de pelo menos uma lâmina de espada e um cabo de madeira. Cabos são fabricados pelo^ carpinteiro. Embora você possa comprá-los no Mercado da Guilda. A lâmina da espada pode ser encontrada em^ intermediários ao percorrer os tipos de mercadorias no mercado. Quando selecionar a espada, verá vários^ requisitos. Sua habilidade Manejo de Criação precisa ser adequada. Essa é uma habilidade nova que você pode^ melhorar com o tempo. Passar o cursor sobre os requisitos permitirá que você veja que 1 lingote de aço é^ necessário. Obtenha-o de uma mina ou do mercado. A criação pode ser iniciada se todas os requisitos forem^ atendidos. ^^ Fabricação ^^ Clique no botão Criar. Agora você vê uma seta aparecendo no cenário. Você precisa pegar uma barra de ferro.^ Pressione F e mantenha-o pressionado até que a barra de carregamento fique totalmente carregada. Uma nova seta^ aparece no fole. Vá até ele e sopre o fogo até que ele tenha a temperatura certa. Você pode desativar essas setas^ pressionando o botão abaixo. Observe que alguns itens podem exigir maneiras diferentes de processamento. Mantenha^ ou Venda-o quando estiver pronto, uma caixa de mensagem será exibida perguntando se deseja manter ou vender o^ item. Como você é membro da Guilda, a Guilda sempre garantirá um preço fixo para seus membros dentro da cidade,^ você sempre terá 20% de lucro. O lucro estimado é declarado abaixo e à direita na janela da Bancada de Trabalho e^ é calculado assim: custos dos intermediários +20% de lucro do preço normal de compra do item no mercado. Mantenha^ os intermediários em seu inventário para criar o item final na bancada de trabalho: uma espada.
qstr_Pointers|Setas
qstr_Return|Retornar
qstr_Workshop_pointers_tu|Setas da oficina desativadas
qstr_Workshop_pointers_tur|Setas da oficina ativadas
qstr_Town_overview|Visão geral do Feudo
qstr_Quit|Sair
qstr_Destroy|Destruir
qstr_Build|Construir
qstr_Train|Treinar
qstr_Proclaim|Proclamar
qstr_Well_trained_and_dis|Bem treinados e disciplinados, esses cavaleiros estão entre ^a mais pesada cavalaria de toda a cristandade.
qstr_Construction|Construção
qstr_Recruitment|Recrutamento
qstr_{s2}_Queue|Fileira de {s2}
qstr_{reg6}d|{reg6}d
qstr_12d|12d
qstr_Small_town_of_{s2}|Pequeno Vilarejo de {s2}
qstr_Town_of_{s2}|Vilarejo de {s2}
qstr_Small_city_of_{s2}|Pequena Cidade de {s2}
qstr_City_of_{s2}|Cidade de {s2}
qstr_Large_city_of_{s2}|Grande Cidade de {s2}
qstr_Huge_city_of_{s2}|Cidade Enorme de {s2}
qstr_Treasury|Tesouraria
qstr_Income_for_kingdom|Renda do reino
qstr_Income_for_town|Renda do feudo
qstr_Population|População
qstr_Recruitable|Recrutável
qstr_Growth|Crescimento
qstr_{reg0}%|{reg0}%
qstr_Rel._Uniformity|Unif. Religiosa
qstr_Overview|Visão geral
qstr_Edicts|Decretos
qstr_Nothing_selected|Nada selecionado
qstr_{reg2}_Prestige_Poin|{reg2} Pontos de Prestígio perdidos.
qstr_{reg3}_Piety_lost.|{reg3} Piedade perdida.
qstr_Not_removeable_build|Edifício não removível.
qstr_Construction_queue_i|A fila de construção está cheia.
qstr_{reg2}_Prestige_Point|{reg2} Pontos de Prestígio ganhos.
qstr_{reg3}_Piety_earned.|{reg3} Piedade ganhada.
qstr_Insufficient_funds.|Fundos insuficientes.
qstr_Recruitment_queue_is|A fila de recrutamento está cheia.
qstr_Minecart|Carrinho
qstr_Fill_minecraft_with:|Encha carrinho com:
qstr_No_iron_ore_or_alrea|Nenhum minério de ferro ou já adicionou alguma coisa!
qstr_No_silver_ore_or_alr|Nenhum minério de prata ou já adicionou alguma coisa!
qstr_No_gold_ore_or_alrea|Nenhum minério de ouro ou já adicionou alguma coisa!
qstr_No_iron_bar_or_alrea|Nenhuma barra de ferro ou já adicionou alguma coisa!
qstr_You_came_into_the_wo|Você veio ao mundo como {reg3?uma filha:um filho} de nobreza decadente, seu pai caiu em desgraça e perdeu seu título. No entanto, apesar das dificuldades de sua família, eles proporcionaram uma boa educação e treinaram você desde a infância para os rigores da aristocracia e da vida na corte.
qstr_You_were_born_the_{r|Você nasceu {reg3?uma filha:um filho} de mercadores viajantes, sempre mudando de um lugar para outro em busca de lucro. Embora seus pais fossem mais ricos do que a maioria e {reg3?a:o} educassem o melhor que podiam, você encontrou poucas oportunidades de fazer amigos na estrada, vivendo principalmente nos momentos em que podia vender algo para alguém.
qstr_As_a_child_your_fam|Quando criança, sua família sobrevivia com o escasso salário de seu pai como guarda do lorde local. Não era uma existência fácil, e você era pobre demais para aprender muito. Você aprendeu principalmente como se defender nas ruas, com ou sem uma arma na mão.
qstr_{reg3?daughter:son}|{reg3?filha:filho}
qstr_You_were_the_{reg3?d|Você nasceu no seio de uma família que vivia na floresta, fazendo todo o possível para sobreviver. Caçar, talhar árvores, fabricar flechas, inclusive praticar a caça furtiva quando era necessário. O inverno nunca foi um bom período para sua família, pois com o frio chegavam animais, assim como gente... mas você viveu para ver outro amanhecer dia após dia, embora seus irmãos e irmãs não tenham tido tanta sorte.
qstr_You_were_a_child_of_|Você é {reg3?uma filha:um filho} da estepe. Nasceu em uma tribo de nômades que viviam em acampamentos estendidos pelas áridas pastagens. Assim como outras pessoas da tribo, sua família adorava os cavalos sobre qualquer outra coisa, e lhe ensinaram a cavalgar antes mesmo de aprender a andar.
qstr_As_the_{reg3?daughte|Como {reg3?filha:filho} de um ladrão, você obteve pouca educação formal. Passou a infância na rua, mendigando até que aprendeu a roubar bolsas, e roubando bolsas até que aprendeu a arrombar fechaduras. Todos esses anos, no entanto, lhe ensinaram a defender-se nas ruas, assim como os segredos das cidades e das escuras vielas.
qstr_A_{reg3?daughter:son|{reg3?Uma filha:Um filho} que ninguém queria, você foi {reg3?deixada:deixado} para a igreja como um bebê, {reg3?uma enjeitada criada:um enjeitado criado} pelos padres e freiras para suas próprias tradições. Você era apenas uma dentre muitas outras crianças abandonadas e órfãs, mas mesmo assim recebeu muita atenção e muitos anos de estudo na biblioteca da igreja e diante do altar. Eles te ensinaram muitas coisas. Gradualmente, a fé tornou-se uma parte tão importante da sua vida que não foi diferente do sangue que corre nas suas veias.
qstr_As_a_{reg3?girl:boy}|Como {reg3?uma garota:um garoto} que, desde a infância adorava trabalhar nas terras, equipad{o/a} com uma foice de cultivo. Você desenvolve uma forte crença, trabalhando duro, melhora seu caráter. As pessoas nos arredores tendem a respeitá-l{o/a}, mas você sabe... A vida é difícil nestes tempos medievais. Às vezes você mal consegue manter a comida na mesa.
qstr_As_a_{reg3?girl:boy}_|Como {reg3?uma garota:um garoto} que acabou de sair da infância, você é aprendiz de um artesão local para aprender um ofício. Depois de anos de trabalho duro e estudo com o seu novo mestre, você se torna habilidoso em seu ofício. No entanto, é difícil preservar uma qualidade de vida decente.
qstr_As_a_{reg3?girl:boy}_g|Como {reg3?uma garota:um garoto} que acabou de sair da infância, você é aprendiz de um comerciante rico, adquirindo o ofício ao longo de anos trabalhando em lojas e dirigindo caravanas. Você logo se tornou adepto da arte de comprar na baixa, vender alto e deixar o cliente pensando que teria o melhor negócio.
qstr_As_a_{reg3?girl:boy}_gr|Como {reg3?uma garota:um garoto} que acabou de sair da infância, você começa a estudar as tradições, a liturgia e os livros da fé. Mais tarde, um sacerdócio é concedido a você. Você sente que mereceu e ganhou o respeito da população local.
qstr_As_a_{reg3?girl:boy}_gro|Como {reg3?uma garota:um garoto} que, desde a infância pediu aos padres locais que lhe ensinassem a escrever e ler em latim em pouco tempo você começa a ler os mais diversos tipos de livros, estudando música, aritmética, geometria, astronomia e muito mais. Os padres percebem sua inteligência e pagam seus estudos na universidade mais próxima. No entanto, você não conseguiu terminar os estudos por falta de dinheiro. Você volta para casa.
qstr_{reg3?daughter:man}|{reg3?filha:homem}
qstr_Though_the_distincti|Embora a mudança tenha sido repentina, em algum momento você se tornou {reg3?uma mulher:um homem} e o mundo todo pareceu mudar ao seu redor. Quando {o/a} nomearam {reg3?escudeira:escudeiro} de um nobre da corte, você praticou muitas horas com as armas, aprendendo a infligir duros golpes e também a recebê-los. Instruiu-se nas obrigações para com seu senhor e em seus deveres com aqueles que um dia poderiam ser seus vassalos. Mas além de aprender o ideal da cavalaria, também lhe ensinaram as velhas histórias sobre a crueza do poder político, as traições e as usurpações de homens que utilizaram sua inteligência e seu valor para alcançar seus objetivos.
qstr_{reg3?woman:man}|{reg3?mulher:homem}
qstr_Though_the_distinctio|Embora a mudança tenha sido repentina, em algum momento você se tornou {s13}, e o mundo todo pareceu mudar ao seu redor. Você se uniu a um fechado círculo de mulheres na corte, donzelas fazendo coisas de donzelas, de esposas e amantes de homens nobres assim como meninas ainda sem marido. No entanto, mesmo aqui encontrou a maquinaria política, testemunhou as severas lutas das damas por predominância de uma sobre a outra para atrair a atenção dos homens da corte, e rapidamente aprendeu a tirar proveito destas situações. Com isso, você percebeu que poderia influenciar significativamente o mundo, caso se dedicasse à tarefa com um pouco de sutileza...
qstr_Though_the_distinction|Embora a mudança tenha sido repentina, em algum momento você se tornou {s13}, e o mundo todo pareceu mudar ao seu redor. Você se lançou ao mundo sem nada, exceto com seu instrumento nas costas e sua voz. Era uma existência pobre, de muitas noites famintas quando as pessoas não apreciavam sua arte, mas você foi capaz de sobreviver apenas com sua música. Ao longo dos anos, aprendeu a tocar frente a grupos de bêbados nas tavernas, e ganhou experiência para conseguir o que desejava graças à sua lábia.
qstr_Though_the_distinction_|Embora a mudança tenha sido repentina, em algum momento você se tornou {reg3?uma mulher:um homem}, e o mundo todo pareceu mudar ao seu redor. Encontrou-se estudando em uma universidade de uma grande cidade, aprendendo teologia, filosofia e medicina. Mas nem todas as suas lições foram emitidas nas aulas. Às vezes você se aventurava com seus colegas pelas vielas em busca de vinho, mulheres e uma boa luta. No entanto, não deixou de observar como se consertava uma mandíbula quebrada, ou como um cidadão irritado poderia ser persuadido a deixar seu porrete e aceitar uma compensação em dinheiro pela destruição de sua tenda.
qstr_Though_the_distinction_f|Embora a mudança tenha sido repentina, em algum momento você se tornou {s13}, e o mundo todo pareceu mudar ao seu redor. Atendendo ao chamado da estrada, viajou de aldeia em aldeia comprando e vendendo o que podia. Não foi uma vida rica, mas você aprendeu a barganhar inclusive frente aos anciãos mais miseráveis, conseguindo bons preços. Então intuiu que logo estaria {reg3?pronta:pronto} para começar seu próprio negócio...
qstr_Though_the_distinction_fe|Embora a mudança tenha sido repentina, em algum momento você se tornou {s13}, e o mundo todo pareceu mudar ao seu redor. Começou a trabalhar em uma ferraria, criando objetos belos e úteis a partir do simples metal. Com o tempo você se tornou {reg3?mestra:mestre} de seu ofício, e seu bom trabalho começou a trazer-lhe benefícios. De estômago cheio e com a fornalha ardendo, você contemplou com orgulho o seu trabalho e sua boa reputação.
qstr_Though_the_distinction_fel|Embora a mudança tenha sido repentina, em algum momento você se tornou {s13}, e o mundo todo pareceu mudar ao seu redor. {reg3?Cansada:Cansado} da ambição dos homens pelo dinheiro, se refugiou nas florestas de seu senhor e decidiu fazê-lo com seu roubo de caça, sem atender às leis. Caçou cervos, javalis e gansos, e vendeu suas apreciadas carnes no mercado negro. Talhou árvores sob os narizes dos guardas e as converteu em lenha que aqueceu muitos lares gelados no inverno. Tudo por uma migalha de dinheiro, é claro...
qstr_Only_you_know_exactl|Só você sabe o motivo de ter abandonado sua antiga vida para lançar-se em uma aventura. De qualquer forma, não foi uma decisão difícil, dada a ira de seu coração. Você quer vingança. Quer justiça. O que lhe fizeram não pode ser desfeito, e estas dívidas só podem ser pagas com sangue...
qstr_Only_you_know_exactly|Só você sabe o motivo de ter abandonado sua antiga vida para lançar-se em uma aventura. Tudo o que pode dizer é que não suportava ficar, não com as dolorosas lembranças de seus entes queridos tão próximas. Talvez sua nova vida lhe permita esquecer, ou honrar aqueles que não se atrevem a nomeá-lo...
qstr_Only_you_know_exactly_|Só você sabe o motivo de ter abandonado sua antiga vida para lançar-se em uma aventura. Nem sequer se lembra o porquê de sua casa ter se tornado uma prisão, de quando o familiar transformou-se em mundano, mas os desejos de aventura inundaram sua vida. Já que sonha em chegar a um lugar distante ou simplesmente deseja caminhar livremente e sem rumo, você não poderia suportar permanecer no mesmo lugar. Simplesmente lançou-se em uma jornada, e nunca mais olhou para trás...
qstr_Only_you_know_exactly_w|Só você sabe o motivo de ter abandonado sua antiga vida para lançar-se em uma aventura. No entanto, você sabe que não pode voltar. Não há nada nem ninguém para onde retornar. Seu lar não existe mais e você deve aceitar que terá que enfrentar o mundo {reg3?sozinha:sozinho}, para afogar-se ou sair nadando...
qstr_Only_you_know_exactly_wh|Só você sabe o motivo de ter abandonado sua antiga vida para lançar-se em uma aventura. Para todos os casos, está claro que a única coisa que lhe motiva é seu benefício próprio. Você quer riqueza, poder, que lhe respeitem e que lhe temam. Quer ser a pessoa a quem os outros obedecem. Quer que todos conheçam seu nome e tremam a cada vez que o pronunciarem. Você almeja tudo isso, e não permitirá que ninguém se interponha em seu caminho...
qstr_Back_to_the_beginnin|Voltar ao começo...
qstr_View_next_segment...|Ver próximo segmento...
qstr_^No_food:___{reg7}|^Sem comida:  -{reg7}
qstr_^Wage_debt:___{reg6}|^Dívidas de salário:  -{reg6}
qstr_On_loan|Por empréstimo,
qstr_Appoint_next_marshal|Nomear próximo marechal
qstr_Award_{s12}_as_fief|Entregue {s12} como feudo
qstr_Selected_faction_is:|A facção selecionada é: {s10}^^{s9}
qstr_You_are_currently_re|Você atualmente está lendo {s8}.
qstr_You_are_not_reading_|Você não está lendo nenhum livro.
qstr_none|nenhum
qstr_{s5}_and_{s6}|{s5} e {s6}
qstr_Your_estates_are:_{s|Suas propriedades são: {s8}.^{s9}
qstr_Current_party_size_l|O limite atual do exército é {reg5}.^Os modificadores do tamanho do grupo são:^^Tamanho base:  +10^Liderança: {s2}{reg1}^Carisma: {s3}{reg2}^Renome: {s4}{reg3}^TOTAL:  {reg5}
qstr_Loyal|Leal
qstr_Devoted|Devoto
qstr_Fond|Afetuoso
qstr_Gracious|Generoso
qstr_Friendly|Amigável
qstr_Supportive|Solidário
qstr_Favorable|Favorável
qstr_Cooperative|Cooperativo
qstr_Accepting|Tolerante
qstr_Indifferent|Indiferente
qstr_Suspicious|Desconfiado
qstr_Grumbling|Cauteoso
qstr_Hostile|Hostil
qstr_Resentful|Ressentido
qstr_Angry|Furioso
qstr_Hateful|Odioso
qstr_Revengeful|Rancoroso
qstr_Vengeful|Vingativo
qstr_Your_relation_with_t|Sua relação com as facções é:^{s2}
qstr_Player_renown_is_inc|O renome do jogador aumentou em 100. 
qstr_Player_honor_is_incr|A honra do jogador aumentou em 1 e agora é de {reg7}.
qstr_Piety_improven_with_|A piedade melhorou em 10.
qstr_Influence_improven_w|Influência melhorada em 10.000.
qstr_Player_prestige_insc|Prestígio do jogador aumentado em 100.
qstr_{reg1}_{s1}_{reg2?ac|{reg1} {s1} {reg2?aceitam:aceita} a oferta.
qstr_No_one_accepts_the_o|Ninguém aceita a oferta.
qstr_You_start_reading_{s|Você começa a ler {s2}. Passadas umas páginas, você pressente que poderia aprender muito com este livro e decide mantê-lo perto para lê-lo quando tiver tempo.
qstr_You_flip_through_the|Você passa as páginas de {s2}, mas o texto lhe parece confuso e difícil. Você tenta compreendê-lo, mas termina com dor de cabeça e resolve deixar o livro.
qstr_Villagers|Aldeões
qstr_You_have_encountered|Você se encontrou com {s1}.
qstr_You_have_engaged_{s1|Você atacou {s1} enquanto assaltavam {s3}.
qstr_You_were_caught_by_{|{s1} lhe capturou enquanto suas forças assaltavam {s3}.
qstr_You_were_victorious!|Vc foi vitorios{o/a}!
qstr_Battle_was_lost._You|Suas forças foram esmagadas... Você perdeu a batalha.
qstr_Your_companions_carr|Seus companheiros lhe afastam da luta.
qstr_You_have_defeated_th|Você derrotou o inimigo.
